timestamp,sensor_id,sensor_type,room,value
2025-09-15 00:00:00,TEM_SAL_01,temperature,Sala_Reuniao,20.03
2025-09-15 00:15:00,TEM_SAL_01,temperature,Sala_Reuniao,20.0
2025-09-15 00:30:00,TEM_SAL_01,temperature,Sala_Reuniao,20.33
2025-09-15 00:45:00,TEM_SAL_01,temperature,Sala_Reuniao,19.65
2025-09-15 01:00:00,TEM_SAL_01,temperature,Sala_Reuniao,20.19
2025-09-15 01:15:00,TEM_SAL_01,temperature,Sala_Reuniao,20.59
2025-09-15 01:30:00,TEM_SAL_01,temperature,Sala_Reuniao,20.48
2025-09-15 01:45:00,TEM_SAL_01,temperature,Sala_Reuniao,20.76
2025-09-15 02:00:00,TEM_SAL_01,temperature,Sala_Reuniao,21.31
2025-09-15 02:15:00,TEM_SAL_01,temperature,Sala_Reuniao,20.91
2025-09-15 02:30:00,TEM_SAL_01,temperature,Sala_Reuniao,20.83
2025-09-15 02:45:00,TEM_SAL_01,temperature,Sala_Reuniao,21.08
2025-09-15 03:00:00,TEM_SAL_01,temperature,Sala_Reuniao,21.32
2025-09-15 03:15:00,TEM_SAL_01,temperature,Sala_Reuniao,20.98
2025-09-15 03:30:00,TEM_SAL_01,temperature,Sala_Reuniao,22.18
2025-09-15 03:45:00,TEM_SAL_01,temperature,Sala_Reuniao,21.9
2025-09-15 04:00:00,TEM_SAL_01,temperature,Sala_Reuniao,21.97
2025-09-15 04:15:00,TEM_SAL_01,temperature,Sala_Reuniao,22.11
2025-09-15 04:30:00,TEM_SAL_01,temperature,Sala_Reuniao,22.42
2025-09-15 04:45:00,TEM_SAL_01,temperature,Sala_Reuniao,22.51
2025-09-15 05:00:00,TEM_SAL_01,temperature,Sala_Reuniao,22.96
2025-09-15 05:15:00,TEM_SAL_01,temperature,Sala_Reuniao,22.45
2025-09-15 05:30:00,TEM_SAL_01,temperature,Sala_Reuniao,22.96
2025-09-15 05:45:00,TEM_SAL_01,temperature,Sala_Reuniao,23.14
2025-09-15 06:00:00,TEM_SAL_01,temperature,Sala_Reuniao,23.07
2025-09-15 06:15:00,TEM_SAL_01,temperature,Sala_Reuniao,23.74
2025-09-15 06:30:00,TEM_SAL_01,temperature,Sala_Reuniao,23.34
2025-09-15 06:45:00,TEM_SAL_01,temperature,Sala_Reuniao,23.6
2025-09-15 07:00:00,TEM_SAL_01,temperature,Sala_Reuniao,23.78
2025-09-15 07:15:00,TEM_SAL_01,temperature,Sala_Reuniao,23.56
2025-09-15 07:30:00,TEM_SAL_01,temperature,Sala_Reuniao,24.14
2025-09-15 07:45:00,TEM_SAL_01,temperature,Sala_Reuniao,23.99
2025-09-15 08:00:00,TEM_SAL_01,temperature,Sala_Reuniao,24.19
2025-09-15 08:15:00,TEM_SAL_01,temperature,Sala_Reuniao,24.58
2025-09-15 08:30:00,TEM_SAL_01,temperature,Sala_Reuniao,24.44
2025-09-15 08:45:00,TEM_SAL_01,temperature,Sala_Reuniao,24.61
2025-09-15 09:00:00,TEM_SAL_01,temperature,Sala_Reuniao,24.22
2025-09-15 09:15:00,TEM_SAL_01,temperature,Sala_Reuniao,25.15
2025-09-15 09:30:00,TEM_SAL_01,temperature,Sala_Reuniao,24.35
2025-09-15 09:45:00,TEM_SAL_01,temperature,Sala_Reuniao,24.11
2025-09-15 10:00:00,TEM_SAL_01,temperature,Sala_Reuniao,24.46
2025-09-15 10:15:00,TEM_SAL_01,temperature,Sala_Reuniao,24.35
2025-09-15 10:30:00,TEM_SAL_01,temperature,Sala_Reuniao,24.62
2025-09-15 10:45:00,TEM_SAL_01,temperature,Sala_Reuniao,24.71
2025-09-15 11:00:00,TEM_SAL_01,temperature,Sala_Reuniao,24.64
2025-09-15 11:15:00,TEM_SAL_01,temperature,Sala_Reuniao,24.49
2025-09-15 11:30:00,TEM_SAL_01,temperature,Sala_Reuniao,24.93
2025-09-15 11:45:00,TEM_SAL_01,temperature,Sala_Reuniao,24.36
2025-09-15 12:00:00,TEM_SAL_01,temperature,Sala_Reuniao,24.35
2025-09-15 12:15:00,TEM_SAL_01,temperature,Sala_Reuniao,23.86
2025-09-15 12:30:00,TEM_SAL_01,temperature,Sala_Reuniao,23.71
2025-09-15 12:45:00,TEM_SAL_01,temperature,Sala_Reuniao,23.94
2025-09-15 13:00:00,TEM_SAL_01,temperature,Sala_Reuniao,23.89
2025-09-15 13:15:00,TEM_SAL_01,temperature,Sala_Reuniao,23.81
2025-09-15 13:30:00,TEM_SAL_01,temperature,Sala_Reuniao,23.39
2025-09-15 13:45:00,TEM_SAL_01,temperature,Sala_Reuniao,23.34
2025-09-15 14:00:00,TEM_SAL_01,temperature,Sala_Reuniao,23.1
2025-09-15 14:15:00,TEM_SAL_01,temperature,Sala_Reuniao,23.4
